# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cpu-clock'
# Event count (approx.): 14691750000
#
# Overhead  Command          Shared Object                 Symbol                                            
# ........  ...............  ............................  ..................................................
#
     0.00%  nemu             [kernel.kallsyms]             [k] poll_select_set_timeout
     0.00%  nemu             [kernel.kallsyms]             [k] process_timeout
     0.00%  nemu             [kernel.kallsyms]             [k] put_timespec64
     0.00%  nemu             [kernel.kallsyms]             [k] rcu_all_qs
     0.00%  nemu             [kernel.kallsyms]             [k] rcu_process_callbacks
     0.00%  nemu             [kernel.kallsyms]             [k] rcu_segcblist_ready_cbs
     0.00%  nemu             [kernel.kallsyms]             [k] restore_all_kernel
     0.00%  nemu             [kernel.kallsyms]             [k] schedule
     0.00%  nemu             [kernel.kallsyms]             [k] security_file_ioctl
     0.00%  nemu             [kernel.kallsyms]             [k] security_file_permission
     0.00%  nemu             [kernel.kallsyms]             [k] signal_setup_done
     0.00%  nemu             [kernel.kallsyms]             [k] skb_copy_datagram_from_iter
     0.00%  nemu             [kernel.kallsyms]             [k] sock_alloc_send_pskb
     0.00%  nemu             [kernel.kallsyms]             [k] sock_recvmsg
     0.00%  nemu             [kernel.kallsyms]             [k] sock_sendmsg
     0.00%  nemu             [kernel.kallsyms]             [k] sys_clock_gettime
     0.00%  nemu             [kernel.kallsyms]             [k] sys_ioctl
     0.00%  nemu             [kernel.kallsyms]             [k] sys_sigreturn
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_bo_mem_compat
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_check_swapping
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_eu_fence_buffer_objects
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_eu_reserve_buffers
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_mem_global_alloc
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_mem_global_free
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_release_base
     0.00%  nemu             [kernel.kallsyms]             [k] unix_scm_to_skb
     0.00%  nemu             [kernel.kallsyms]             [k] unix_stream_read_generic
     0.00%  nemu             [kernel.kallsyms]             [k] unix_stream_recvmsg
     0.00%  nemu             [kernel.kallsyms]             [k] uprobe_deny_signal
     0.00%  nemu             [kernel.kallsyms]             [k] usb_hcd_poll_rh_status
     0.00%  nemu             [kernel.kallsyms]             [k] user_path_at_empty
     0.00%  nemu             [kernel.kallsyms]             [k] vfs_writev
     0.00%  nemu             [kernel.kallsyms]             [k] vmacache_find
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_binding_state_reset
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_bo_to_validate_list
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_cmd_dx_cid_check
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_cmdbuf_alloc
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_execbuf_ioctl
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_fifo_reserve_dx
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_resource_activate
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_resource_reference
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_resource_reference_unless_doomed
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_translate_guest_ptr.isra.17
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_user_fence_base_release
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_user_fence_destroy
     0.00%  nemu             [kernel.kallsyms]             [k] wait_for_unix_gc
     0.00%  nemu             [kernel.kallsyms]             [k] wp_page_copy
     0.00%  nemu             ld-2.23.so                    [.] .L235
     0.00%  nemu             libGL.so.1.2.0                [.] 0x00012f60
     0.00%  nemu             libGL.so.1.2.0                [.] 0x00019f70
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003d05b
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003e258
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003ee7d
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003eeee
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003efb4
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003f0f5
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0003f274
     0.00%  nemu             libLLVM-6.0.so.1              [.] llvm::StringMapImpl::LookupBucketFor
     0.00%  nemu             libLLVM-6.0.so.1              [.] 0x004cbffe
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] SDL_RenderPresent
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x0000f01c
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x0000f661
